------------------LVL 1-----------------
1. One-handed sword, AGI: 1, STR: 1, DMG: 20, SPD: 40, HANDLING: 1.0
7. Katana, AGI: 19, STR: 64, DMG: 826, SPD: 60, HANDLING: 1.1449809938549442
8. Dagger, AGI: 40, STR: 43, DMG: 786, SPD: 99, HANDLING: 1.5109130256079875
9. One-handed axe, AGI: 11, STR: 72, DMG: 772, SPD: 52, HANDLING: 1.214680366281558
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1030
------------------LVL 29-----------------
1. Two-handed battle axe, AGI: 1, STR: 85, DMG: 1690, SPD: 39, HANDLING: 0.7363773418344856
2. Two-handed sword, AGI: 18, STR: 68, DMG: 1600, SPD: 52, HANDLING: 0.7454393471814497
3. One-handed axe, AGI: 51, STR: 35, DMG: 1197, SPD: 78, HANDLING: 0.7673908539650948
4. Spear, AGI: 16, STR: 70, DMG: 1046, SPD: 56, HANDLING: 1.1170310971381994
5. Rapier, AGI: 48, STR: 38, DMG: 968, SPD: 96, HANDLING: 1.188769106927339
6. One-handed curved sword, AGI: 31, STR: 55, DMG: 908, SPD: 76, HANDLING: 1.2070836958713513
7. One-handed sword, AGI: 31, STR: 55, DMG: 900, SPD: 72, HANDLING: 1.0769918545056933
8. Katana, AGI: 18, STR: 68, DMG: 854, SPD: 60, HANDLING: 1.1690147586516548
9. Dagger, AGI: 39, STR: 47, DMG: 814, SPD: 99, HANDLING: 1.5457775418325275
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1109
------------------LVL 30-----------------
1. Two-handed battle axe, AGI: 1, STR: 88, DMG: 1745, SPD: 39, HANDLING: 0.743742598393498
2. Two-handed sword, AGI: 18, STR: 71, DMG: 1650, SPD: 52, HANDLING: 0.7558992607346814
3. CUSTOM (ex: dual wielding), AGI: 11, STR: 78, DMG: 1240, SPD: 48, HANDLING: 0.8917184021410455
4. One-handed axe, AGI: 47, STR: 42, DMG: 1236, SPD: 78, HANDLING: 0.8314753016401112
5. Spear, AGI: 15, STR: 74, DMG: 1078, SPD: 56, HANDLING: 1.1401829574721871
6. Rapier, AGI: 46, STR: 43, DMG: 1000, SPD: 96, HANDLING: 1.2406591048216817
7. One-handed curved sword, AGI: 30, STR: 59, DMG: 938, SPD: 76, HANDLING: 1.2338017464856175
8. One-handed sword, AGI: 30, STR: 59, DMG: 930, SPD: 72, HANDLING: 1.1032040925047608
9. Dagger, AGI: 55, STR: 34, DMG: 918, SPD: 108, HANDLING: 1.2553477876384624
10. Katana, AGI: 18, STR: 71, DMG: 882, SPD: 60, HANDLING: 1.1806503713413043
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1162
------------------LVL 31-----------------
1. Two-handed battle axe, AGI: 1, STR: 91, DMG: 1800, SPD: 39, HANDLING: 0.7508866169988652
2. Two-handed sword, AGI: 17, STR: 75, DMG: 1700, SPD: 52, HANDLING: 0.773266595353761
3. CUSTOM (ex: dual wielding), AGI: 10, STR: 82, DMG: 1280, SPD: 48, HANDLING: 0.9095611567537568
4. One-handed axe, AGI: 45, STR: 47, DMG: 1275, SPD: 78, HANDLING: 0.8711182195642111
5. Spear, AGI: 15, STR: 77, DMG: 1110, SPD: 56, HANDLING: 1.1519569830059704
6. Rapier, AGI: 45, STR: 47, DMG: 1032, SPD: 96, HANDLING: 1.2738023674310779
7. One-handed sword, AGI: 39, STR: 53, DMG: 1024, SPD: 78, HANDLING: 1.0095796992935002
8. One-handed curved sword, AGI: 30, STR: 62, DMG: 968, SPD: 76, HANDLING: 1.2460727951251405
9. Dagger, AGI: 52, STR: 40, DMG: 948, SPD: 108, HANDLING: 1.332268069863411
10. Katana, AGI: 18, STR: 74, DMG: 910, SPD: 60, HANDLING: 1.191841708419725
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1205
------------------LVL 32-----------------
1. Two-handed battle axe, AGI: 1, STR: 94, DMG: 1855, SPD: 39, HANDLING: 0.7578192184866683
2. Two-handed sword, AGI: 17, STR: 78, DMG: 1750, SPD: 52, HANDLING: 0.7829935089021327
3. CUSTOM (ex: dual wielding), AGI: 10, STR: 85, DMG: 1320, SPD: 48, HANDLING: 0.9189948711710559
4. One-handed axe, AGI: 43, STR: 52, DMG: 1314, SPD: 78, HANDLING: 0.9093109873561648
5. Spear, AGI: 15, STR: 80, DMG: 1142, SPD: 56, HANDLING: 1.1633264438661681
6. Rapier, AGI: 44, STR: 51, DMG: 1064, SPD: 96, HANDLING: 1.305311773504808
7. One-handed sword, AGI: 38, STR: 57, DMG: 1056, SPD: 78, HANDLING: 1.0360896757195555
8. One-handed curved sword, AGI: 30, STR: 65, DMG: 998, SPD: 76, HANDLING: 1.2578088082532557
9. Dagger, AGI: 50, STR: 45, DMG: 978, SPD: 108, HANDLING: 1.3871053778805287
10. Katana, AGI: 18, STR: 77, DMG: 938, SPD: 60, HANDLING: 1.2026137384699727
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1242
------------------LVL 33-----------------
1. Two-handed battle axe, AGI: 1, STR: 97, DMG: 1910, SPD: 39, HANDLING: 0.7645496509009897
2. Two-handed sword, AGI: 17, STR: 81, DMG: 1800, SPD: 52, HANDLING: 0.7924322326028798
3. CUSTOM (ex: dual wielding), AGI: 10, STR: 88, DMG: 1360, SPD: 48, HANDLING: 0.9281399593137425
4. One-handed axe, AGI: 42, STR: 56, DMG: 1353, SPD: 78, HANDLING: 0.9355010524307887
5. Spear, AGI: 15, STR: 83, DMG: 1174, SPD: 56, HANDLING: 1.1743118395978254
6. Rapier, AGI: 43, STR: 55, DMG: 1096, SPD: 96, HANDLING: 1.3353052325912371
7. One-handed sword, AGI: 37, STR: 61, DMG: 1088, SPD: 78, HANDLING: 1.061566898070329
8. One-handed curved sword, AGI: 29, STR: 69, DMG: 1028, SPD: 76, HANDLING: 1.2817344720882098
9. Dagger, AGI: 48, STR: 50, DMG: 1008, SPD: 108, HANDLING: 1.439116857914946
10. Katana, AGI: 18, STR: 80, DMG: 966, SPD: 60, HANDLING: 1.2129895934798927
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1278
------------------LVL 34-----------------
1. Two-handed battle axe, AGI: 1, STR: 100, DMG: 1965, SPD: 39, HANDLING: 0.7710866306532805
2. Two-handed sword, AGI: 17, STR: 84, DMG: 1850, SPD: 52, HANDLING: 0.8015953872619473
3. CUSTOM (ex: dual wielding), AGI: 10, STR: 91, DMG: 1400, SPD: 48, HANDLING: 0.9370094674681092
4. One-handed axe, AGI: 41, STR: 60, DMG: 1392, SPD: 78, HANDLING: 0.9607668855576568
5. Spear, AGI: 15, STR: 86, DMG: 1206, SPD: 56, HANDLING: 1.1849323077834606
6. Rapier, AGI: 42, STR: 59, DMG: 1128, SPD: 96, HANDLING: 1.363889575271239
7. One-handed sword, AGI: 36, STR: 65, DMG: 1120, SPD: 78, HANDLING: 1.086070563065502
8. One-handed curved sword, AGI: 29, STR: 72, DMG: 1058, SPD: 76, HANDLING: 1.2922351883538936
9. Dagger, AGI: 47, STR: 54, DMG: 1038, SPD: 108, HANDLING: 1.4714060775656186
10. Katana, AGI: 18, STR: 83, DMG: 994, SPD: 61, HANDLING: 1.2229907346592086
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1315
------------------LVL 35-----------------
1. Two-handed battle axe, AGI: 1, STR: 103, DMG: 2020, SPD: 39, HANDLING: 0.777438380182884
2. Two-handed sword, AGI: 16, STR: 88, DMG: 1900, SPD: 52, HANDLING: 0.8173057485828635
3. Spear, AGI: 60, STR: 44, DMG: 1857, SPD: 84, HANDLING: 0.7507077345709727
4. CUSTOM (ex: dual wielding), AGI: 10, STR: 94, DMG: 1440, SPD: 48, HANDLING: 0.9456156673125364
5. One-handed axe, AGI: 40, STR: 64, DMG: 1431, SPD: 78, HANDLING: 0.9851565618656881
6. One-handed curved sword, AGI: 64, STR: 40, DMG: 1360, SPD: 95, HANDLING: 0.8763181665166904
7. Rapier, AGI: 41, STR: 63, DMG: 1160, SPD: 96, HANDLING: 1.3911618245395627
8. Mace, AGI: 24, STR: 80, DMG: 1158, SPD: 60, HANDLING: 0.9000547074795583
9. One-handed sword, AGI: 36, STR: 68, DMG: 1152, SPD: 78, HANDLING: 1.0986687406865414
10. Dagger, AGI: 46, STR: 58, DMG: 1068, SPD: 108, HANDLING: 1.502112938247318
11. Katana, AGI: 17, STR: 87, DMG: 1022, SPD: 60, HANDLING: 1.243083177734101
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1415
------------------LVL 36-----------------
1. Two-handed battle axe, AGI: 1, STR: 106, DMG: 2075, SPD: 39, HANDLING: 0.7836126624608646
2. Two-handed sword, AGI: 16, STR: 91, DMG: 1950, SPD: 52, HANDLING: 0.825856170294007
3. Spear, AGI: 56, STR: 51, DMG: 1905, SPD: 84, HANDLING: 0.8066722200480061
4. CUSTOM (ex: dual wielding), AGI: 10, STR: 97, DMG: 1480, SPD: 48, HANDLING: 0.9539701125659276
5. One-handed axe, AGI: 39, STR: 68, DMG: 1470, SPD: 78, HANDLING: 1.0087148790563982
6. One-handed curved sword, AGI: 58, STR: 49, DMG: 1398, SPD: 95, HANDLING: 0.9660893939471588
7. Rapier, AGI: 67, STR: 40, DMG: 1341, SPD: 108, HANDLING: 1.0306983971167198
8. One-handed sword, AGI: 44, STR: 63, DMG: 1258, SPD: 84, HANDLING: 1.0245272463954884
9. Dagger, AGI: 63, STR: 44, DMG: 1190, SPD: 117, HANDLING: 1.2381135543878485
10. Mace, AGI: 23, STR: 84, DMG: 1190, SPD: 60, HANDLING: 0.9182148940229515
11. Katana, AGI: 17, STR: 90, DMG: 1050, SPD: 60, HANDLING: 1.2522112667822043
AVG DMG ACROSS ALL TOP WEAPON BUILDS: 1482
------------------LVL 37-----------------
1. Two-handed battle axe, AGI: 1, STR: 109, DMG: 2130, SPD: 39, HANDLING: 0.7896168126415823
2. Two-handed sword, AGI: 16, STR: 94, DMG: 2000, SPD: 52, HANDLING: 0.8341674311201986
3. Spear, AGI: 53, STR: 57, DMG: 1953, SPD: 84, HANDLING: 0.8513006667992731
4. CUSTOM (ex: dual wielding), AGI: 10, STR: 100, DMG: 1520, SPD: 48, HANDLING: 0.9620836907364483
5. One-handed axe, AGI: 38, STR: 72, DMG: 1509, SPD: 78, HANDLING: 1.031483632013864
6. One-handed curved sword, AGI: 56, STR: 54, DMG: 1435, SPD: 95, HANDLING: 1.0055609118928794
